kgID	mRNA	geneSymbol	refseq
uc001udr.3	BC017348	ABCB9	NM_001243014
uc001udo.4	NM_019624	ABCB9	NM_019624
uc001udm.4	NM_019625	ABCB9	NM_019625
uc010tai.2	AK294225	ABCB9	NM_019625
uc021rfp.1	NM_203444	ABCB9	NM_203444
uc001udq.3	AK027624	ABCB9	-
uc010bvi.3	NM_004996	ABCC1	NM_004996
uc002del.4	AB209120	ABCC1	NM_004996
uc010bvn.3	AK311015	ABCC1	-
uc021tds.1	HQ917067	ABCC1	-
uc021tdt.1	HQ917066	ABCC1	-
uc021tdq.1	HQ917065	ABCC1	-
uc021tdr.1	HQ917064	ABCC1	-
uc003ouy.1	NM_001198934	ABCC10	NM_001198934
uc003ouz.1	NM_033450	ABCC10	NM_033450
uc010jyo.1	AK024446	ABCC10	-
uc002efg.1	NM_032583	ABCC11	NM_032583
uc002eff.1	NM_033151	ABCC11	NM_033151
uc002efh.1	NM_145186	ABCC11	NM_145186
uc010vgk.1	AK301547	ABCC11	-
uc010cbg.1	AL117406	ABCC11	-
uc010vgl.1	AK301547	ABCC11	-
uc002efc.1	NM_033226	ABCC12	NM_033226
uc002eey.1	AF411577	ABCC12	NM_033226
uc002efa.1	AF395908	ABCC12	NM_033226
uc002efe.1	AK122635	ABCC12	NM_033226
uc002eez.1	AF411578	ABCC12	-
uc002efb.1	AF395909	ABCC12	-
uc002efd.1	BC036378	ABCC12	-
uc010vgj.1	AK302520	ABCC12	-
uc002yjr.3	NR_003087	ABCC13	NR_003087
uc002yjq.3	NR_003088	ABCC13	NR_003088
uc002yjs.3	AF418600	ABCC13	-
uc010gkx.3	AF518320	ABCC13	-
uc001kqf.2	NM_000392	ABCC2	NM_000392
uc002isk.4	NM_001144070	ABCC3	NM_001144070
uc002isl.3	NM_003786	ABCC3	NM_003786
uc002isn.3	AF154001	ABCC3	-
uc001vme.2	NM_001105515	ABCC4	NM_001105515
uc010tih.1	AK296247	ABCC4	NM_001105515
uc010afl.1	AY133678	ABCC4	NM_001105515
uc001vmd.4	NM_005845	ABCC4	NM_005845
uc010afk.3	AF541977	ABCC4	NM_005845
uc001vmf.2	AY133679	ABCC4	-
uc010afm.1	AY133680	ABCC4	-
uc010afj.3	AK309460	ABCC4	-
uc003fmh.3	NM_001023587	ABCC5	NM_001023587
uc010hxn.3	AY754876	ABCC5	NM_001023587
uc010hxo.3	BC142670	ABCC5	NM_001023587
uc003fmg.3	NM_005688	ABCC5	NM_005688
uc010hxl.3	AY196484	ABCC5	NM_005688
uc011bqt.2	BC144495	ABCC5	-
uc010hxm.3	AY754874	ABCC5	-
uc003fmi.3	BC051358	ABCC5	-
uc031scp.1	NR_046570	ABCC5-AS1	NR_046570
uc002deo.4	NM_001079528	ABCC6	NM_001079528
uc002den.4	NM_001171	ABCC6	NM_001171
uc010uzz.1	AK298295	ABCC6	NM_001171
uc010bvo.3	AM711638	ABCC6	-
uc002dfg.3	NR_003569	ABCC6P1	NR_003569
uc010vam.2	AK298443	ABCC6P1	-
uc002dcu.2	NR_023387	ABCC6P2	NR_023387
uc001mnc.3	NM_000352	ABCC8	NM_000352
uc010rcy.1	AK297560	ABCC8	NM_000352
uc021qej.1	HM635782	ABCC8	-
uc001rfi.1	NM_005691	ABCC9	NM_005691
uc001rfh.3	NM_020297	ABCC9	NM_020297
uc001rfk.3	BC033804	ABCC9	-
uc001rfl.1	AK056519	ABCC9	-
uc004fif.2	NM_000033	ABCD1	NM_000033
uc001rmb.2	NM_005164	ABCD2	NM_005164
uc001dqm.4	NM_001122674	ABCD3	NM_001122674
uc001dqn.4	NM_002858	ABCD3	NM_002858
uc010oto.2	AK296791	ABCD3	NM_002858
uc009wdr.3	BC068509	ABCD3	NM_002858
uc001dqo.4	BX648715	ABCD3	NM_002858
uc010otp.2	AK302714	ABCD3	-
uc001xpr.2	NM_005050	ABCD4	NM_005050
uc001xps.2	NR_003256	ABCD4	NR_003256
uc010tur.2	AK297934	ABCD4	-
uc001xpu.2	BX247984	ABCD4	-
uc001xpv.2	BX248053	ABCD4	-
uc003ijx.3	NM_001040876	ABCE1	NM_001040876
uc003ijy.3	NM_002940	ABCE1	NM_002940
uc010iot.3	AK315198	ABCE1	NM_002940
uc003nql.3	NM_001025091	ABCF1	NM_001025091
uc003nqk.2	AK307551	ABCF1	NM_001025091
uc011eyl.2	NM_001025091	ABCF1	NM_001025091
uc011eyk.1	AK307551	ABCF1	NM_001025091
uc011fwy.2	NM_001025091	ABCF1	NM_001025091
uc011fwx.1	AK307551	ABCF1	NM_001025091
uc011gtb.2	NM_001025091	ABCF1	NM_001025091
uc011gta.1	AK307551	ABCF1	NM_001025091
uc011hlv.2	NM_001025091	ABCF1	NM_001025091
uc011hlu.1	AK307551	ABCF1	NM_001025091
uc011ija.2	NM_001025091	ABCF1	NM_001025091
uc011iiz.1	AK307551	ABCF1	NM_001025091
uc011jge.2	NM_001025091	ABCF1	NM_001025091
uc011jgd.1	AK307551	ABCF1	NM_001025091
uc003nqm.3	NM_001090	ABCF1	NM_001090
uc011eym.2	NM_001090	ABCF1	NM_001090
uc011fwz.2	NM_001090	ABCF1	NM_001090
uc011gtc.2	NM_001090	ABCF1	NM_001090
uc011hlw.2	NM_001090	ABCF1	NM_001090
uc011ijb.2	NM_001090	ABCF1	NM_001090
uc011jgf.2	NM_001090	ABCF1	NM_001090
uc003wjo.1	NM_005692	ABCF2	NM_005692
uc003wjp.3	NM_007189	ABCF2	NM_007189
